job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
Quality Assurance Analyst - Semarang|Eco Concepts Australia Pty Ltd (Eco Outdoor)|Semarang, Central Java|central java|2026-03-05 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Project Financial Analyst - WFO - Jakarta (ID: 697480)|PT. PERSOLKELLY Recruitment Indonesia|South Jakarta, Jakarta|jakarta|2026-03-17 13:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|18000000.0|20000000.0|19000000.0
Senior Data Analyst – P2P Lending|PT Anugerah Digital Indonesia|South Jakarta, Jakarta|jakarta|2026-02-19 01:00:00|1|1|0|0|1|0|0|1|1|0|0|0|0|0|0|1|1|0|0|||
Business Analyst Executive - Temporary 3 Months|Kanmo Group|Jakarta|jakarta|2026-03-03 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Business System Analyst|PT Eigerindo Multi Produk Industri|Bandung, West Java|west java|2026-02-24 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Operation Analyst (Fuel)|PT Petrolindo Energi Perkasa|Jakarta|jakarta|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6000000.0|7000000.0|6500000.0
Finance Analyst|PT BBN Airlines Indonesia|Jakarta|jakarta|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|||
Equity Research Analyst|TUNTUN SEKURITAS INDONESIA|North Jakarta, Jakarta|jakarta|2026-02-20 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Fit Test Analyst - Footwear Industry|Deckers International HK Limited|Jakarta|jakarta|2026-02-25 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Finance and Business Performance Analyst|PT Valdo Sumber Daya Mandiri|Jakarta|jakarta|2026-02-26 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|10000000.0|12000000.0|11000000.0
Data Architect|PT Lawencon Internasional|South Jakarta, Jakarta|jakarta|2026-03-07 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
System Analyst|Private Advertiser|South Tangerang, Banten|banten|2026-03-03 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|11000000.0|13000000.0|12000000.0
Data Analitics|PT Kinarya Alihdaya Mandiri|Not Available|Not Available|2026-03-05 01:00:00|1|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|1|0|1|5700000.0|7000000.0|6350000.0
Data Management Engineer|PT Advance Intelligence Indonesia|South Jakarta, Jakarta|jakarta|2026-03-14 01:00:00|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15000000.0|20000000.0|17500000.0
Sr. Accounting Analyst|PT Upartners Sukses Bersama|Central Jakarta, Jakarta|jakarta|2026-03-04 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8000000.0|12000000.0|10000000.0
IT Data Privacy & Information Security Officer|PT CIMB Niaga Auto Finance|South Tangerang, Banten|banten|2026-03-07 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Data Management Supervisor|PT Perindustrian Bapak Djenggot (Orang Tua Group)|West Jakarta, Jakarta|jakarta|2026-03-04 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Engineer|PT Rsystems Ibizcs International|Tangerang, Banten|banten|2026-03-06 01:00:00|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|7500000.0|11000000.0|9250000.0
Credit Analyst|PT Indomobil Finance Indonesia|Samarinda, East Kalimantan|east kalimantan|2026-03-05 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
IT Product Analyst (Senior Level)|PT Akulaku Silvrr Indonesia|Central Jakarta, Jakarta|jakarta|2026-03-10 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|||
Datawarehouse Analyst|PT Eka Mas Republik|Tangerang, Banten|banten|2026-03-10 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
System Analyst|TalentGo|Jakarta|jakarta|2026-03-06 01:00:00|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6000000.0|8000000.0|7000000.0
